DateTime:,20220307_22:49:04

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
630,10.0,63,114
Control,Long 0,Long 1,Long 2,Short 3,Short 4,Short 5
win_size,95,85,75,55,40,25
stride,15,20,25,25,20,25
start_time,1,5,10,5,3,2

Time,Epoch #,Epoch Time,Train Accuracy,Train Cost
20220107_22:50:41,0,30.99058985710144,0.19206350594758986,18.0750595331192
Test Accuracy :,0.3245614171028137
20220107_22:51:17,10,2.2488858699798584,0.9349206924438477,11.956956505775452
20220107_22:51:39,20,2.2464561462402344,0.9952381074428558,6.3380401730537415
20220107_22:52:01,30,2.1628808975219727,0.9984127044677734,3.709397852420807
20220107_22:52:22,40,2.209148406982422,1.0,2.420160233974457
20220107_22:52:44,50,2.174767017364502,0.9984127044677734,2.035844326019287
20220107_22:53:06,60,2.083373785018921,1.0,1.1364521756768227
20220107_22:53:27,70,2.13240647315979,1.0,1.1060927361249924
20220107_22:53:49,80,2.1291720867156982,1.0,0.6957575045526028
20220107_22:54:10,90,2.069445848464966,1.0,0.5500278808176517
20220107_22:54:36,100,2.122347116470337,1.0,0.6556841246783733
Test Accuracy :,1.0
20220107_22:55:08,110,2.139631748199463,1.0,0.6276550777256489
20220107_22:55:30,120,2.0387122631073,1.0,0.7752224206924438
20220107_22:55:51,130,2.098817825317383,1.0,0.4451235644519329
20220107_22:56:13,140,2.2400569915771484,1.0,0.2591414228081703
20220107_22:56:34,150,2.109626531600952,1.0,0.18538059014827013
20220107_22:56:56,160,2.1858370304107666,1.0,0.15536770503968
20220107_22:57:18,170,2.147580862045288,1.0,0.14257580693811178
20220107_22:57:39,180,2.1648976802825928,1.0,0.10905545158311725
20220107_22:58:01,190,2.150034189224243,1.0,0.08958864351734519
20220107_22:58:27,200,2.213738441467285,1.0,0.08818385330960155
Test Accuracy :,1.0
20220107_22:59:00,210,2.257713556289673,1.0,0.09247866878286004
20220107_22:59:22,220,2.2870070934295654,1.0,0.08112148614600301
20220107_22:59:44,230,2.111668348312378,1.0,0.07409366872161627
20220107_23:00:07,240,2.200359582901001,1.0,0.06392127508297563
20220107_23:00:30,250,2.1790692806243896,1.0,0.06040267460048199
20220107_23:00:52,260,2.168548822402954,1.0,0.07682365830987692
20220107_23:01:14,270,2.1779673099517822,1.0,0.06518137571401894
20220107_23:01:36,280,2.1068382263183594,1.0,0.059809260070323944
20220107_23:01:58,290,2.173696756362915,1.0,0.057686137268319726
20220107_23:02:24,300,2.1296112537384033,1.0,1.2376058474183083
Test Accuracy :,0.9912281036376953
20220107_23:03:00,310,2.217212200164795,1.0,0.41707796417176723
20220107_23:03:22,320,2.3336341381073,1.0,0.11243685660883784
20220107_23:03:44,330,2.124680280685425,1.0,0.08819189155474305
20220107_23:04:06,340,2.2060368061065674,1.0,0.2670392757281661
20220107_23:04:29,350,2.2170894145965576,1.0,0.08976509515196085
20220107_23:04:51,360,2.1687355041503906,1.0,0.07460034219548106
20220107_23:05:14,370,2.356602430343628,1.0,0.34453374706208706
20220107_23:05:37,380,2.13576340675354,1.0,0.37651686929166317
20220107_23:05:58,390,2.1536142826080322,1.0,0.26094760466367006
20220107_23:06:24,400,2.173248291015625,1.0,0.1096338527277112
Test Accuracy :,1.0
